日期,时间,中西区,南区,东区,观塘,深水埗,葵涌,荃湾,将军澳,元朗,屯门,东涌,大埔,沙田,北区,塔门,铜锣湾,中环,旺角
2024/2/1,1,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,4,4,4
2024/2/1,2,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3
2024/2/1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
2024/2/1,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
2024/2/1,5,3,3,3,3*,3,3*,3,3,2,3,3,3,3*,3,3,3,3,3
2024/2/1,6,3,3,3,3*,3,3*,3,3,2,3,3,3,3*,3,3,3,3,3
2024/2/1,7,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3
2024/2/1,8,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,3,3,3
2024/2/1,9,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3
2024/2/1,10,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4,3,3
2024/2/1,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
2024/2/1,12,3,3,3,3,3*,3,3,3,3,3,3,3,3,3,3,4,3,3
2024/2/1,13,3,3,3,3,3*,3,3,3,3,3,3,3,3,3,3,4,3,3
2024/2/1,14,3,3,3,3,3*,3,3,3,3,3,3,3,3,3,3,4,3,3
2024/2/1,15,3,3,3,3,3*,3,3,3,3,3,3,3,3,3,3,4,3,3
2024/2/1,16,3,3,3,3,3*,4,3,3,3,3,3,3,3,3,3,4,3,3
2024/2/1,17,3,3,3,3,3*,4,3,3,3,3,3,3,2,3,4,4,4,3
2024/2/1,18,3,4,4,3,3*,4,3,4,3,3,3,3,3,3,4,4,4,3
2024/2/1,19,3,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4
2024/2/1,20,3,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4
2024/2/1,21,3,4,4,4,4,4,3,4,3,3,2,3,3,3,4,4,4,4
2024/2/1,22,3,3,4,4,3,4,3,4,3,3,2,3,3,3,3,4,4,4
2024/2/1,23,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3
2024/2/1,24,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
2024/2/1,每日最高值,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4,4
2024/2/2,1,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3
2024/2/2,2,3,2,3,3,3,3,3,2,2,3,2,3,3,3,2,3,3,3
2024/2/2,3,3,2,3,2,3,2,3,2,2,3,2,3,2,2,2,3,3,3
