DATE,HOUR,STATION,SO2,NOX,NO2,CO,O3,FSP
1/2/2024,1,CAUSEWAY BAY,3,117,56,50,39,28
1/2/2024,2,CAUSEWAY BAY,3,63,41,54,45,17
1/2/2024,3,CAUSEWAY BAY,2,105,63,67,30,23
1/2/2024,4,CAUSEWAY BAY,3,150,75,82,11,15
1/2/2024,5,CAUSEWAY BAY,3,114,59,61,20,18
1/2/2024,6,CAUSEWAY BAY,3,80,47,55,33,16
1/2/2024,7,CAUSEWAY BAY,3,201,66,71,19,17
1/2/2024,8,CAUSEWAY BAY,6,311,84,88,10,28
1/2/2024,9,CAUSEWAY BAY,6,359,101,101,8,22
1/2/2024,10,CAUSEWAY BAY,7,423,97,114,8,32
1/2/2024,11,CAUSEWAY BAY,4,196,70,76,17,24
1/2/2024,12,CAUSEWAY BAY,7,392,95,78,11,25
1/2/2024,13,CAUSEWAY BAY,7,400,96,86,9,23
1/2/2024,14,CAUSEWAY BAY,9,483,98,99,8,34
1/2/2024,15,CAUSEWAY BAY,9,518,100,96,7,50
1/2/2024,16,CAUSEWAY BAY,9,480,91,106,7,42
1/2/2024,17,CAUSEWAY BAY,10,467,91,117,11,36
1/2/2024,18,CAUSEWAY BAY,10,563,104,110,7,40
1/2/2024,19,CAUSEWAY BAY,11,563,112,111,8,45
1/2/2024,20,CAUSEWAY BAY,10,490,113,124,8,39
1/2/2024,21,CAUSEWAY BAY,7,340,90,119,8,43
1/2/2024,22,CAUSEWAY BAY,4,137,54,61,23,29
1/2/2024,23,CAUSEWAY BAY,6,336,87,88,12,23
1/2/2024,24,CAUSEWAY BAY,5,194,71,81,14,24
2/2/2024,1,CAUSEWAY BAY,3,120,61,68,18,22
2/2/2024,2,CAUSEWAY BAY,3,138,68,69,6,25
2/2/2024,3,CAUSEWAY BAY,4,181,74,70,5,23
2/2/2024,4,CAUSEWAY BAY,4,147,60,68,6,19
2/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,5,19
2/2/2024,6,CAUSEWAY BAY,5,209,69,56,5,14
2/2/2024,7,CAUSEWAY BAY,4,170,56,53,10,18
2/2/2024,8,CAUSEWAY BAY,7,368,70,93,6,18
2/2/2024,9,CAUSEWAY BAY,9,486,81,125,6,25
2/2/2024,10,CAUSEWAY BAY,8,373,75,84,7,27
2/2/2024,11,CAUSEWAY BAY,6,253,72,79,9,18
2/2/2024,12,CAUSEWAY BAY,6,269,77,69,12,23
2/2/2024,13,CAUSEWAY BAY,5,229,75,59,14,18
2/2/2024,14,CAUSEWAY BAY,6,227,75,62,16,22
2/2/2024,15,CAUSEWAY BAY,5,149,69,57,33,19
2/2/2024,16,CAUSEWAY BAY,4,92,53,50,38,21
2/2/2024,17,CAUSEWAY BAY,5,172,69,58,23,19
2/2/2024,18,CAUSEWAY BAY,5,200,81,55,22,18
2/2/2024,19,CAUSEWAY BAY,5,198,77,55,27,20
2/2/2024,20,CAUSEWAY BAY,4,116,53,60,35,36
2/2/2024,21,CAUSEWAY BAY,3,87,47,56,50,38
2/2/2024,22,CAUSEWAY BAY,3,70,41,57,51,37
2/2/2024,23,CAUSEWAY BAY,3,108,50,57,40,31
2/2/2024,24,CAUSEWAY BAY,3,91,45,56,45,25
3/2/2024,1,CAUSEWAY BAY,2,61,35,47,49,21
3/2/2024,2,CAUSEWAY BAY,2,37,24,40,56,13
3/2/2024,3,CAUSEWAY BAY,2,53,31,45,51,17
3/2/2024,4,CAUSEWAY BAY,2,41,26,48,56,26
3/2/2024,5,CAUSEWAY BAY,2,32,21,39,61,22
3/2/2024,6,CAUSEWAY BAY,2,41,26,33,56,23
3/2/2024,7,CAUSEWAY BAY,2,51,28,36,50,18
3/2/2024,8,CAUSEWAY BAY,2,78,37,36,42,23
3/2/2024,9,CAUSEWAY BAY,2,73,33,41,46,16
3/2/2024,10,CAUSEWAY BAY,3,142,60,51,29,9
3/2/2024,11,CAUSEWAY BAY,4,161,63,48,26,17
3/2/2024,12,CAUSEWAY BAY,4,185,66,55,28,17
3/2/2024,13,CAUSEWAY BAY,5,188,63,57,35,15
3/2/2024,14,CAUSEWAY BAY,4,164,67,54,35,19
3/2/2024,15,CAUSEWAY BAY,6,284,88,73,24,26
3/2/2024,16,CAUSEWAY BAY,6,275,76,74,25,25
3/2/2024,17,CAUSEWAY BAY,5,143,73,62,44,25
3/2/2024,18,CAUSEWAY BAY,7,250,100,85,36,30
3/2/2024,19,CAUSEWAY BAY,6,177,84,76,38,27
3/2/2024,20,CAUSEWAY BAY,5,178,80,63,40,33
3/2/2024,21,CAUSEWAY BAY,5,204,86,62,29,25
3/2/2024,22,CAUSEWAY BAY,3,112,58,50,48,27
3/2/2024,23,CAUSEWAY BAY,3,95,51,45,47,21
3/2/2024,24,CAUSEWAY BAY,3,68,37,40,55,14
4/2/2024,1,CAUSEWAY BAY,4,166,60,59,34,15
4/2/2024,2,CAUSEWAY BAY,3,76,38,50,55,8
4/2/2024,3,CAUSEWAY BAY,2,49,30,41,60,9
4/2/2024,4,CAUSEWAY BAY,2,29,20,36,64,16
4/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,61,16
4/2/2024,6,CAUSEWAY BAY,2,35,27,35,65,19
4/2/2024,7,CAUSEWAY BAY,2,57,38,38,54,16
4/2/2024,8,CAUSEWAY BAY,2,73,44,43,47,19
4/2/2024,9,CAUSEWAY BAY,3,82,47,47,43,29
4/2/2024,10,CAUSEWAY BAY,3,130,54,64,33,25
4/2/2024,11,CAUSEWAY BAY,6,316,81,87,14,23
4/2/2024,12,CAUSEWAY BAY,4,135,56,66,28,27
4/2/2024,13,CAUSEWAY BAY,6,231,69,86,20,25
4/2/2024,14,CAUSEWAY BAY,4,97,49,74,36,23
4/2/2024,15,CAUSEWAY BAY,6,263,69,90,23,29
4/2/2024,16,CAUSEWAY BAY,7,231,71,80,22,27
4/2/2024,17,CAUSEWAY BAY,4,114,55,50,32,26
4/2/2024,18,CAUSEWAY BAY,3,88,46,50,39,17
4/2/2024,19,CAUSEWAY BAY,4,118,56,64,38,26
4/2/2024,20,CAUSEWAY BAY,6,222,73,62,23,33
4/2/2024,21,CAUSEWAY BAY,4,155,66,57,24,29
4/2/2024,22,CAUSEWAY BAY,4,177,66,50,30,27
4/2/2024,23,CAUSEWAY BAY,3,102,50,47,40,20
