region,date,timestamp,hourOfDate,reading_type,reading_value
west,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_sub_index,6
east,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_sub_index,8
central,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_sub_index,11
south,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_sub_index,4
north,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_sub_index,7
west,2024-10-03,2024-10-03T21:00:00+08:00,21,no2_one_hour_max,28
east,2024-10-03,2024-10-03T21:00:00+08:00,21,no2_one_hour_max,56
central,2024-10-03,2024-10-03T21:00:00+08:00,21,no2_one_hour_max,85
south,2024-10-03,2024-10-03T21:00:00+08:00,21,no2_one_hour_max,32
north,2024-10-03,2024-10-03T21:00:00+08:00,21,no2_one_hour_max,53
west,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_eight_hour_max,13
east,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_eight_hour_max,18
central,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_eight_hour_max,25
south,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_eight_hour_max,10
north,2024-10-03,2024-10-03T21:00:00+08:00,21,o3_eight_hour_max,17
west,2024-10-03,2024-10-03T21:00:00+08:00,21,psi_twenty_four_hourly,52
east,2024-10-03,2024-10-03T21:00:00+08:00,21,psi_twenty_four_hourly,36
central,2024-10-03,2024-10-03T21:00:00+08:00,21,psi_twenty_four_hourly,46
south,2024-10-03,2024-10-03T21:00:00+08:00,21,psi_twenty_four_hourly,36
north,2024-10-03,2024-10-03T21:00:00+08:00,21,psi_twenty_four_hourly,40
west,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_twenty_four_hourly,22
east,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_twenty_four_hourly,19
central,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_twenty_four_hourly,26
south,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_twenty_four_hourly,16
north,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_twenty_four_hourly,19
west,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_sub_index,22
east,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_sub_index,19
central,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_sub_index,26
south,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_sub_index,16
north,2024-10-03,2024-10-03T21:00:00+08:00,21,pm10_sub_index,19
west,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_twenty_four_hourly,13
east,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_twenty_four_hourly,9
central,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_twenty_four_hourly,11
south,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_twenty_four_hourly,9
north,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_twenty_four_hourly,10
west,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_sub_index,4
east,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_sub_index,2
central,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_sub_index,2
south,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_sub_index,2
north,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_sub_index,1
west,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_sub_index,52
east,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_sub_index,36
central,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_sub_index,46
south,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_sub_index,36
north,2024-10-03,2024-10-03T21:00:00+08:00,21,pm25_sub_index,40
west,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_twenty_four_hourly,7
east,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_twenty_four_hourly,3
central,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_twenty_four_hourly,3
south,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_twenty_four_hourly,3
north,2024-10-03,2024-10-03T21:00:00+08:00,21,so2_twenty_four_hourly,2
west,2024-10-03,2024-10-03T21:00:00+08:00,21,co_eight_hour_max,0
east,2024-10-03,2024-10-03T21:00:00+08:00,21,co_eight_hour_max,1
central,2024-10-03,2024-10-03T21:00:00+08:00,21,co_eight_hour_max,0
south,2024-10-03,2024-10-03T21:00:00+08:00,21,co_eight_hour_max,0
north,2024-10-03,2024-10-03T21:00:00+08:00,21,co_eight_hour_max,0
west,2024-10-03,2024-10-03T21:00:00+08:00,21,co_sub_index,4
east,2024-10-03,2024-10-03T21:00:00+08:00,21,co_sub_index,6
central,2024-10-03,2024-10-03T21:00:00+08:00,21,co_sub_index,4
south,2024-10-03,2024-10-03T21:00:00+08:00,21,co_sub_index,3
north,2024-10-03,2024-10-03T21:00:00+08:00,21,co_sub_index,4
